n2,n3,n4,first,second,third,fourth,fifth,n2_size,n3_size,n4_size,total,t_size
5,5,5,0.180839056691505,0.0646792065488501,0.043377181327214,0.029911233141896,0.0216661104045197,39527936,57527904,36800744,0.340472788113985,127.655586242676
4,5,5,0.180959998806305,0.0647117020528073,0.0433569671112627,0.0299815467240015,0.0215770409402448,46876184,57527904,36800744,0.340587255634621,134.663421630859
5,5,4,0.183678920083192,0.0646857522930542,0.0437766961920699,0.0299736488584003,0.0218487860850887,39527936,57527904,48800632,0.343963803511805,139.099571228027
5,4,5,0.184167960077066,0.0653269938282516,0.0436442668478019,0.0300095109631502,0.0216412956321574,39527936,71987824,36800744,0.344790027348427,141.445640563965
3,5,5,0.181126897070008,0.0647754968164345,0.0433916333622831,0.0300916114905775,0.021698835025325,58272968,57527904,36800744,0.341084473764628,145.532241821289
4,5,4,0.183799862197992,0.0647182477970115,0.0437564819761186,0.0300439624405058,0.0217597166208137,46876184,57527904,48800632,0.344078271032441,146.107406616211
4,4,5,0.184288902191866,0.0653594893322088,0.0436240526318506,0.0300798245452557,0.0215449743259146,46876184,71987824,36800744,0.344897243027096,148.453475952148
5,4,4,0.186427962391864,0.0652580564337402,0.0440374438329951,0.0299910874015355,0.0218150618287521,39527936,71987824,48800632,0.347529611888887,152.889625549316
3,5,4,0.183966760461695,0.0647820425606386,0.043791148227139,0.0301540272070818,0.021881510705894,58272968,57527904,48800632,0.344575489162449,156.976226806641
3,4,5,0.184455800455569,0.065423284095836,0.043658718882871,0.0301898893118318,0.0216667684109948,58272968,71987824,36800744,0.345394461157103,159.322296142578
5,5,3,0.187808263383257,0.0652338685773368,0.0438613073670624,0.0300399025154589,0.0220304541551135,39527936,57527904,70136712,0.348973795998229,159.447242736816
4,4,4,0.186548904506664,0.0652905519376975,0.0440172296170438,0.030061400983641,0.0217187405225093,46876184,71987824,48800632,0.347636827567556,159.8974609375
5,3,5,0.187911466821098,0.066714658594701,0.044078914911678,0.0300573293686778,0.0222759072366244,39527936,95910408,36800744,0.351038276932779,164.259994506836
2,5,5,0.181452958873394,0.0649728676403397,0.0434282290699142,0.0300002176539827,0.0218541358685833,78769376,57527904,36800744,0.341708409106214,165.079139709473
